Time Stamp	Motor Power 1	Motor Command 1	Battery Amps 1
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:51 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	0	0
11/21/2018 4:03:52 PM	0	13	0
11/21/2018 4:03:52 PM	23	103	0
11/21/2018 4:03:52 PM	83	140	0
11/21/2018 4:03:52 PM	143	222	0
11/21/2018 4:03:52 PM	203	241	0
11/21/2018 4:03:52 PM	249	249	0
11/21/2018 4:03:52 PM	249	249	0
11/21/2018 4:03:52 PM	249	256	0
11/21/2018 4:03:52 PM	271	279	0
11/21/2018 4:03:52 PM	286	297	0
11/21/2018 4:03:52 PM	312	323	0
11/21/2018 4:03:52 PM	350	376	0.1
11/21/2018 4:03:52 PM	408	432	0.1
11/21/2018 4:03:52 PM	458	492	0.1
11/21/2018 4:03:52 PM	518	536	0.1
11/21/2018 4:03:52 PM	536	536	0
11/21/2018 4:03:52 PM	536	536	0.1
11/21/2018 4:03:52 PM	536	536	0
11/21/2018 4:03:53 PM	540	540	0.1
11/21/2018 4:03:53 PM	540	540	0
11/21/2018 4:03:53 PM	540	540	0
11/21/2018 4:03:53 PM	540	540	0
11/21/2018 4:03:53 PM	540	540	0
11/21/2018 4:03:53 PM	540	540	0.1
11/21/2018 4:03:53 PM	540	533	0
11/21/2018 4:03:53 PM	505	480	0
11/21/2018 4:03:53 PM	454	391	0
11/21/2018 4:03:53 PM	394	342	0
11/21/2018 4:03:53 PM	334	207	0
11/21/2018 4:03:53 PM	274	125	0
11/21/2018 4:03:53 PM	214	110	0
11/21/2018 4:03:53 PM	154	84	0
11/21/2018 4:03:53 PM	94	6	0
11/21/2018 4:03:53 PM	34	-39	0
11/21/2018 4:03:53 PM	-26	-125	0
11/21/2018 4:03:53 PM	-86	-249	0
11/21/2018 4:03:53 PM	-146	-301	0
